location,lat,lon
ANEGADA,18.72724,-64.34309
ANGUILLA,18.220554,-63.068615
ANTIGUA,17.07466,-61.81752
ATLANTIQUE,6.658839,2.223667
BARBADOS,13.19389,-59.5432
BARBUDA,17.6268,-61.77073
BERMUDES,32.3078,-64.7505
BRESIL,32.3078,-64.7505
CAYMAN,19.3133,81.2546
COLOMBIE,4.570868,74.297333
COSTA-RICA,9.74892,-83.75343
CUBA,21.52176,-77.78117
CURACAO,12.16957,-68.99002
DOMINIQUE,15.415,-61.37098
FRONTIERE GUYANO-BRESILIENNE,1.89033,-56.08472
GRENADA,12.1165,-61.679
GUADELOUPE,16.265,-61.551
GUYANA,4.86042,-58.93018
GUYANE,3.93389,-53.12578
HAITI,18.97119,-72.28521
HONDURAS,15.2,-86.2419
ILES VIERGES (USA),18.33576,-64.89634
JAMAIQUE,18.10958,-77.29751
MARTINIQUE,14.64153,-61.02417
MEXIQUE,23.634501,-102.552784
MONTSERRAT,16.742498,-62.187366
NEVIS,17.155356,-62.579603
PORTO-RICO,18.220833,-66.590149
PORTUGAL,39.399872,-8.224454
REPUBLIQUE DOMINICAINE,18.735693,-70.162651
SABA,17.635464,-63.232676
SAINT-CROIX,17.705845,-64.858516
SAINTE-LUCIE,13.909444,-60.978893
SAINT-EUSTATIUS,17.489031,-62.973555
SAINT-KITT'S,17.34338,-62.755904
SAINT-MARTIN,18.08255,-63.052251
SAINT-THOMAS,18.3381,-64.8941
SAINT-VINCENT,12.9843,-61.2872
ST-KITT'S,17.3578,-62.783
SURINAM,3.919305,-56.027783
TRINIDAD ET TOBAGO,10.691803,-61.222503
VENEZUELA,6.42375,-66.58973
