name,earthquakes,lat,lon
ANEGADA,1,18.72724,-64.34309
ANTIGUA,34,17.07466,-61.81752
BARBADOS,5,13.19389,-59.5432
BARBUDA,1,17.6268,-61.77073
BERMUDES,2,32.3078,-64.7505
BRESIL,1,32.3078,-64.7505
CAYMAN,1,19.3133,81.2546
COSTA-RICA,6,9.74892,-83.75343
CUBA,80,21.52176,-77.78117
DOMINIQUE,27,15.415,-61.37098
GRENADA,14,12.1165,-61.679
GUADELOUPE,438,16.265,-61.551
GUYANA,1,4.86042,-58.93018
GUYANE,2,3.93389,-53.12578
HAITI,36,18.97119,-72.28521
HONDURAS,2,15.2,-86.2419
ILES VIERGES(USA),1,18.33576,-64.89634
JAMAIQUE,49,18.10958,-77.29751
MARTINIQUE,48,14.64153,-61.02417
MEXIQUE,1,23.634501,-102.552784
MONTSERRAT,2,16.742498,-62.187366
NEVIS,1,17.155356,-62.579603
PORTO-RICO,49,18.220833,-66.590149
REPUBLIQUEDOMINICAINE,7,18.735693,-70.162651
SABA,3,17.635464,-63.232676
SAINT-CROIX,5,17.705845,-64.858516
SAINTE-LUCIE,15,13.909444,-60.978893
SAINT-EUSTATIUS,1,17.489031,-62.973555
SAINT-KITT'S,13,17.34338,-62.755904
SAINT-THOMAS,65,46.012017,-73.349987
SAINT-VINCENT,4,45.751571,7.64208
TRINIDAD ET TOBAGO,103,10.691803,-61.222503
VENEZUELA,57,6.42375,-66.58973
